row_id,app_id,app_name,app_version,cmp_id,cmp_name,cmp_version,cmp_type,app_status,cmp_status,request_id,request_date,request_status,request_step,notes,requestor,color
1,BOM-100,QuizMaster,1.1,101.1,DB_Layer,2.3,internal,released,released,ABC_1,1/2/2019,approved,approval step,blah,,red
2,BOM-100,QuizMaster,1.1,101.2,Jquery,4.3,open source,released,approved,ABC_2,1/3/2019,approved,approval step,blah,,yellow
3,BOM-100,QuizMaster,1.1,101.3,Bootstrap,8.5.c,open source,released,pending,ABC_3,1/4/2019,approved,approval step,blah,,yellow
4,BOM-100,QuizMaster,1.1,101.4,IconFinder,2019,commercial,released,submitted,ABC_4,1/5/2019,approved,approval step,blah,,yellow
5,BOM-100,QuizMaster,1.1,101.5,Excel,2019,commercial,released,in_review,ABC_5,1/6/2019,approved,approval step,blah,,yellow
6,101.1,DB_Layer,2.3,101.1.1,DB_Layer_MySQL,v1.0,internal,released,released,ABC_6,1/7/2019,approved,approval step,blah,,yellow
7,101.1,DB_Layer,2.3,101.1.2,DB_Layer_DB2,v1.0,internal,released,released,ABC_7,1/8/2019,approved,approval step,blah,,yellow
8,101.1,DB_Layer,2.3,101.1.4,DB_Layer_Ingress,v1.0,internal,released,released,ABC_8,1/9/2019,approved,approval step,blah,,yellow
9,101.1.2,DB_Layer_DB2,v1.0,101.1.2.1,Test Subject 1,v1.1,internal,released,released,ABC_9,1/11/2019,approved,approval step,blah,,yellow
10,101.1.2,DB_Layer_DB2,v1.0,101.1.2.2,Test Subject 2,v1.1,internal,released,released,ABC_10,1/11/2019,approved,approval step,blah,,yellow
11,101.1.2,DB_Layer_DB2,v1.0,101.1.2.3,Test Subject 3,v1.1,internal,released,released,ABC_11,1/11/2019,approved,approval step,blah,,yellow
12,BOM-104,QuizMaster,2.2,202.2,DB_Layer,2.3,internal,released,released,ABC_12,1/10/2019,approved,approval step,blah,,red
13,BOM-104,QuizMaster,2.2,202.2,Jquery,4.3,open source,released,approved,ABC_13,1/11/2019,approved,approval step,blah,,yellow
14,BOM-104,QuizMaster,2.2,202.3,Bootstrap,8.5.c,open source,released,pending,ABC_14,1/12/2019,approved,approval step,blah,,yellow
15,BOM-104,QuizMaster,2.2,202.4,IconFinder,2029,commercial,released,submitted,ABC_15,1/13/2019,approved,approval step,blah,,yellow
16,BOM-104,QuizMaster,2.2,202.5,Excel,2029,commercial,released,in_review,ABC_16,1/14/2019,approved,approval step,blah,,yellow
17,202.2,DB_Layer,2.3,202.2.2,DB_Layer_Maria,v2.0,internal,released,released,ABC_17,1/15/2019,approved,approval step,blah,,yellow
18,202.2,DB_Layer,2.3,202.2.2,DB_Layer_DB2,v2.0,internal,released,released,ABC_18,1/16/2019,approved,approval step,blah,,yellow
19,202.2,DB_Layer,2.3,202.2.3,DB_Layer_Oracle,v2.0,internal,released,released,ABC_19,1/17/2019,approved,approval step,blah,,yellow
20,202.2,DB_Layer,2.3,202.2.4,DB_Layer_Ingress,v2.0,internal,released,released,ABC_20,1/18/2019,approved,approval step,blah,,yellow
21,202.2,DB_Layer,2.3,202.2.5,DB_Layer_MS_SQL,v2.0,internal,released,released,ABC_21,1/19/2019,approved,approval step,blah,,yellow
